"scenario","Rt","Vaccine","date","hospitalisations_med","hospitalisations_baseline_med","hospitalisations_averted_med","hospitalisations_025","hospitalisations_baseline_025","hospitalisations_averted_025","hospitalisations_25","hospitalisations_baseline_25","hospitalisations_averted_25","hospitalisations_75","hospitalisations_baseline_75","hospitalisations_averted_75","hospitalisations_975","hospitalisations_baseline_975","hospitalisations_averted_975"
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-18,27592.4689756064,72326.611717059,45678.2421241953,20563.1582114862,54539.3197927173,33693.4778893411,24133.6105059988,64042.7649849115,39478.3837291333,31274.1164446973,85717.4311449107,54598.9519653411,35189.0639669794,95896.1881416292,60704.7653264521
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-19,27107.39838269,72071.9460963767,45714.1198198307,20254.0910894239,54371.4103306975,33909.3589139045,23883.8336908642,63962.6410400182,39669.9086342694,30899.6781660154,85614.1313620485,54795.5201280914,34755.627566073,95636.6792350628,60988.109835353
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-20,26627.5791049113,71771.856507941,45766.2490173064,19956.946841471,54218.0549768102,34132.502329026,23622.9732726925,63775.469122908,39813.5958742021,30526.5436917541,85512.7878321825,54991.3366567813,34305.3871091559,95373.3915589367,61270.1289047046
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-21,26245.3504718878,71496.5530411373,45835.0096896242,19675.4975682535,54090.7578971354,34341.9991441268,23383.4333993274,63469.8456175686,39989.4598957495,30132.4062094468,85346.0402869303,55210.0810230569,33873.0962523141,95118.5161779243,61560.4557077805
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-22,25889.5136364742,71347.0763726488,45925.4106154571,19400.2719779233,53993.6403772369,34483.993307671,23211.0577814949,63211.4777182144,40183.0740698269,29692.2006283486,85109.8416470535,55543.2535816734,33473.0314677173,94889.2415281767,61862.5094328039
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-23,25548.18883816,71223.6169674685,46037.7475748683,19133.9076450387,53847.664356571,34614.3005689153,23062.1195152535,63196.2100490029,40403.9682031677,29231.753226385,84895.62663435,55887.2617949199,33116.0125778464,94675.2869493834,62175.5515657158
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-24,25326.442877412,71139.0870520563,46169.6249136183,18877.6722092001,53689.3286665945,34751.1195329691,22930.7427561844,63435.0354371447,40660.6892734361,28885.3417324096,84880.8256179894,56239.3527407998,32773.0872834321,94475.9247584036,62496.0769291096
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-25,25165.7074919703,71094.5521879775,46318.4573394744,18632.7359181702,53551.2897249845,34894.4679197135,22849.4035124413,63655.934572874,40905.8958905876,28488.3870493004,84826.9578861163,56532.5635606955,32446.9747611325,94290.2832809766,62819.6993553671
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-26,25051.7596806859,71106.6486251636,46487.0539956467,18400.3533447409,53476.8911736953,35150.888966953,22632.5034454504,63960.9753796715,41126.0921838112,28136.171676353,84772.5122012988,56811.4455547885,32135.9391446271,94123.8327307938,63149.7798964991
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-27,24826.4837650938,71176.6360638702,46684.133697032,18182.2508169003,53427.743327078,35470.2987704555,22463.3975667229,64261.3811783642,41481.4557108107,27870.217623921,84744.8329409944,57085.1900696899,31832.5498217527,93991.4237896049,63454.9001497602
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-28,24634.9917392656,71267.8997944568,46915.493586302,17979.2586626108,53437.8257632124,35810.7282258517,22303.9675663178,64410.4701700587,41840.6768958844,27585.8991883454,84718.0258673725,57354.449058459,31530.675540201,94026.0971552911,63762.5660116852
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-29,24396.3502561853,71378.9109069851,47110.1651872749,17791.0087935649,53527.9757699632,36137.1285539505,22163.8208065256,64588.9990077109,42221.5872557456,27232.5001981597,84644.0770719635,57645.9296759334,31227.5598287841,94130.8536687855,64098.8440931373
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-30,24161.7798991198,71509.7626777513,47320.9916675065,17616.4358449626,53653.5806860462,36418.3613316795,22046.906104135,64795.1884896656,42553.404893189,26877.7653575581,84604.6401194091,57957.5477917514,30922.8973741651,94268.9898473826,64460.8210558155
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-01,23993.1363980626,71710.7859391256,47559.3074776522,17454.3070933093,53812.0831018441,36721.3809073303,21784.03958939,65027.5570937623,42874.0246881759,26615.8682007773,84594.3337227603,58285.8938432124,30617.5059794528,94435.4047978373,64848.5325513708
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-02,23844.8067226387,71945.7035583499,47823.3555386338,17303.5430077786,54001.3366443847,37044.5790474173,21531.7850926666,65323.823819329,43225.9162540501,26364.5838710634,84626.5343574132,58627.695908116,30312.6947284883,94625.621120626,65258.002954683
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-03,23702.0497684638,72239.7215339961,48113.098571994,17163.2004414561,54221.7044863316,37389.7187344448,21317.496312569,65652.4190324305,43552.864308494,26123.0851600772,84788.9619738357,58982.8909891605,30010.3919164783,94837.4890833132,65681.9168424733
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-04,23536.7898936641,72588.4723864564,48430.7504688267,17030.6099051848,54495.0672626181,37759.9578510621,21190.5112909852,66031.4979314916,43902.3067257404,25892.3677297477,84980.5157348486,59355.6781705709,29722.778701772,95091.1383671374,66121.0246344156
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-05,23397.7158604345,72973.640980408,48788.2472001952,16880.4695869269,54817.5213192767,38158.1420313167,21067.4827464481,66339.3724797504,44301.5886427961,25672.690920842,85204.9091456796,59749.7472269488,29476.9810679129,95384.3502402179,66576.723372116
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-06,23237.8963250141,73377.735736666,49200.1419667394,16721.9438322795,55183.1700275362,38585.7705810121,20948.1787167276,66657.1204305138,44750.1291067076,25463.2021487255,85462.8746048574,60185.9490396714,29234.7509181663,95698.1582561538,67115.7950207597
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-07,23061.2357884886,73780.1927157592,49660.4742584356,16574.836714859,55591.2949448358,39043.6602564777,20831.8334050465,66861.4351928127,45294.8471553416,25253.4780659989,85753.3160963256,60691.2651337649,28998.5177565098,96032.3545975829,67692.7948045698
