"iso3c","Dim2","lg","age_group"
"ISL","65-69 years",20.245,"65-70"
"ISL","70-74 years",16.06,"70-75"
"ISL","75-79 years",12.215,"75-80"
"ISL","80+",8.775,"80+"
"ISR","0-4",82.575,"0-5"
"ISR","5-9 years",77.88,"5-10"
"ISR","10-14 years",72.9,"10-15"
"ISR","15-19  years",67.93,"15-20"
"ISR","20-24 years",63.015,"20-25"
"ISR","25-29 years",58.105,"25-30"
"ISR","30-34 years",53.21,"30-35"
"ISR","35-39 years",48.325,"35-40"
"ISR","40-44 years",43.475,"40-45"
"ISR","45-49 years",38.65,"45-50"
"ISR","50-54 years",33.905,"50-55"
"ISR","55-59 years",29.28,"55-60"
"ISR","60-64 years",24.825,"60-65"
"ISR","65-69 years",20.56,"65-70"
"ISR","70-74 years",16.475,"70-75"
"ISR","75-79 years",12.635,"75-80"
"ISR","80+",9.245,"80+"
"ITA","0-4",82.905,"0-5"
"ITA","5-9 years",78.165,"5-10"
"ITA","10-14 years",73.195,"10-15"
"ITA","15-19  years",68.23,"15-20"
"ITA","20-24 years",63.285,"20-25"
"ITA","25-29 years",58.365,"25-30"
"ITA","30-34 years",53.445,"30-35"
"ITA","35-39 years",48.525,"35-40"
"ITA","40-44 years",43.645,"40-45"
"ITA","45-49 years",38.82,"45-50"
"ITA","50-54 years",34.065,"50-55"
"ITA","55-59 years",29.435,"55-60"
"ITA","60-64 years",24.945,"60-65"
"ITA","65-69 years",20.62,"65-70"
"ITA","70-74 years",16.51,"70-75"
"ITA","75-79 years",12.675,"75-80"
"ITA","80+",9.105,"80+"
"JAM","0-4",76.02,"0-5"
"JAM","5-9 years",72.085,"5-10"
"JAM","10-14 years",67.175,"10-15"
"JAM","15-19  years",62.27,"15-20"
"JAM","20-24 years",57.385,"20-25"
"JAM","25-29 years",52.575,"25-30"
"JAM","30-34 years",47.82,"30-35"
"JAM","35-39 years",43.15,"35-40"
"JAM","40-44 years",38.535,"40-45"
"JAM","45-49 years",34.015,"45-50"
"JAM","50-54 years",29.62,"50-55"
"JAM","55-59 years",25.38,"55-60"
"JAM","60-64 years",21.35,"60-65"
"JAM","65-69 years",17.605,"65-70"
"JAM","70-74 years",14.155,"70-75"
"JAM","75-79 years",11.165,"75-80"
"JAM","80+",8.58,"80+"
"JOR","0-4",78.015,"0-5"
"JOR","5-9 years",74.18,"5-10"
"JOR","10-14 years",69.305,"10-15"
"JOR","15-19  years",64.415,"15-20"
"JOR","20-24 years",59.525,"20-25"
"JOR","25-29 years",54.655,"25-30"
"JOR","30-34 years",49.78,"30-35"
"JOR","35-39 years",44.925,"35-40"
"JOR","40-44 years",40.095,"40-45"
"JOR","45-49 years",35.33,"45-50"
"JOR","50-54 years",30.665,"50-55"
"JOR","55-59 years",26.14,"55-60"
"JOR","60-64 years",21.815,"60-65"
"JOR","65-69 years",17.8,"65-70"
"JOR","70-74 years",14.195,"70-75"
"JOR","75-79 years",10.88,"75-80"
"JOR","80+",8.105,"80+"
"JPN","0-4",84.215,"0-5"
"JPN","5-9 years",79.425,"5-10"
"JPN","10-14 years",74.45,"10-15"
"JPN","15-19  years",69.48,"15-20"
"JPN","20-24 years",64.545,"20-25"
"JPN","25-29 years",59.64,"25-30"
"JPN","30-34 years",54.73,"30-35"
"JPN","35-39 years",49.84,"35-40"
"JPN","40-44 years",44.975,"40-45"
"JPN","45-49 years",40.145,"45-50"
"JPN","50-54 years",35.41,"50-55"
"JPN","55-59 years",30.78,"55-60"
"JPN","60-64 years",26.255,"60-65"
"JPN","65-69 years",21.88,"65-70"
"JPN","70-74 years",17.795,"70-75"
"JPN","75-79 years",13.785,"75-80"
"JPN","80+",10.16,"80+"
"KAZ","0-4",73.795,"0-5"
"KAZ","5-9 years",69.58,"5-10"
"KAZ","10-14 years",64.665,"10-15"
"KAZ","15-19  years",59.755,"15-20"
"KAZ","20-24 years",54.915,"20-25"
"KAZ","25-29 years",50.115,"25-30"
"KAZ","30-34 years",45.34,"30-35"
"KAZ","35-39 years",40.645,"35-40"
"KAZ","40-44 years",36.095,"40-45"
"KAZ","45-49 years",31.675,"45-50"
"KAZ","50-54 years",27.355,"50-55"
"KAZ","55-59 years",23.145,"55-60"
"KAZ","60-64 years",19.14,"60-65"
"KAZ","65-69 years",15.49,"65-70"
"KAZ","70-74 years",12.355,"70-75"
"KAZ","75-79 years",9.35,"75-80"
"KAZ","80+",6.97,"80+"
"KEN","0-4",67.295,"0-5"
"KEN","5-9 years",64.075,"5-10"
"KEN","10-14 years",59.405,"10-15"
"KEN","15-19  years",54.665,"15-20"
"KEN","20-24 years",50.01,"20-25"
"KEN","25-29 years",45.42,"25-30"
"KEN","30-34 years",40.905,"30-35"
"KEN","35-39 years",36.535,"35-40"
"KEN","40-44 years",32.365,"40-45"
"KEN","45-49 years",28.41,"45-50"
"KEN","50-54 years",24.645,"50-55"
"KEN","55-59 years",21.03,"55-60"
"KEN","60-64 years",17.54,"60-65"
"KEN","65-69 years",14.28,"65-70"
"KEN","70-74 years",11.285,"70-75"
"KEN","75-79 years",8.69,"75-80"
"KEN","80+",6.5,"80+"
"KGZ","0-4",74.345,"0-5"
"KGZ","5-9 years",70.485,"5-10"
"KGZ","10-14 years",65.58,"10-15"
"KGZ","15-19  years",60.68,"15-20"
"KGZ","20-24 years",55.84,"20-25"
"KGZ","25-29 years",51.025,"25-30"
"KGZ","30-34 years",46.23,"30-35"
"KGZ","35-39 years",41.46,"35-40"
"KGZ","40-44 years",36.84,"40-45"
"KGZ","45-49 years",32.445,"45-50"
"KGZ","50-54 years",28.05,"50-55"
"KGZ","55-59 years",23.755,"55-60"
"KGZ","60-64 years",19.725,"60-65"
"KGZ","65-69 years",15.875,"65-70"
"KGZ","70-74 years",12.575,"70-75"
"KGZ","75-79 years",9.435,"75-80"
"KGZ","80+",7.275,"80+"
"KHM","0-4",70.655,"0-5"
"KHM","5-9 years",66.92,"5-10"
"KHM","10-14 years",62.11,"10-15"
"KHM","15-19  years",57.22,"15-20"
"KHM","20-24 years",52.465,"20-25"
"KHM","25-29 years",47.78,"25-30"
"KHM","30-34 years",43.095,"30-35"
"KHM","35-39 years",38.44,"35-40"
"KHM","40-44 years",33.875,"40-45"
"KHM","45-49 years",29.465,"45-50"
"KHM","50-54 years",25.23,"50-55"
"KHM","55-59 years",21.245,"55-60"
"KHM","60-64 years",17.52,"60-65"
"KHM","65-69 years",14.145,"65-70"
"KHM","70-74 years",11.12,"70-75"
"KHM","75-79 years",8.515,"75-80"
"KHM","80+",6.325,"80+"
"KIR","0-4",60.985,"0-5"
"KIR","5-9 years",57.685,"5-10"
"KIR","10-14 years",52.99,"10-15"
"KIR","15-19  years",48.185,"15-20"
"KIR","20-24 years",43.57,"20-25"
"KIR","25-29 years",39.185,"25-30"
"KIR","30-34 years",34.89,"30-35"
"KIR","35-39 years",30.705,"35-40"
"KIR","40-44 years",26.705,"40-45"
"KIR","45-49 years",22.975,"45-50"
"KIR","50-54 years",19.54,"50-55"
"KIR","55-59 years",16.395,"55-60"
"KIR","60-64 years",13.57,"60-65"
"KIR","65-69 years",11.04,"65-70"
"KIR","70-74 years",8.745,"70-75"
"KIR","75-79 years",6.75,"75-80"
"KIR","80+",5.045,"80+"
"KOR","0-4",83.205,"0-5"
"KOR","5-9 years",78.495,"5-10"
"KOR","10-14 years",73.525,"10-15"
"KOR","15-19  years",68.55,"15-20"
"KOR","20-24 years",63.63,"20-25"
"KOR","25-29 years",58.73,"25-30"
"KOR","30-34 years",53.845,"30-35"
"KOR","35-39 years",48.975,"35-40"
"KOR","40-44 years",44.16,"40-45"
"KOR","45-49 years",39.375,"45-50"
"KOR","50-54 years",34.695,"50-55"
"KOR","55-59 years",30.1,"55-60"
"KOR","60-64 years",25.62,"60-65"
"KOR","65-69 years",21.225,"65-70"
"KOR","70-74 years",16.965,"70-75"
"KOR","75-79 years",12.965,"75-80"
"KOR","80+",9.565,"80+"
"KWT","0-4",81.6,"0-5"
"KWT","5-9 years",77.235,"5-10"
"KWT","10-14 years",72.295,"10-15"
"KWT","15-19  years",67.365,"15-20"
"KWT","20-24 years",62.47,"20-25"
"KWT","25-29 years",57.595,"25-30"
"KWT","30-34 years",52.705,"30-35"
"KWT","35-39 years",47.82,"35-40"
"KWT","40-44 years",42.96,"40-45"
"KWT","45-49 years",38.14,"45-50"
"KWT","50-54 years",33.415,"50-55"
"KWT","55-59 years",28.8,"55-60"
"KWT","60-64 years",24.36,"60-65"
"KWT","65-69 years",20.135,"65-70"
"KWT","70-74 years",16.195,"70-75"
"KWT","75-79 years",12.585,"75-80"
"KWT","80+",9.325,"80+"
"LAO","0-4",70.08,"0-5"
"LAO","5-9 years",66.735,"5-10"
"LAO","10-14 years",61.96,"10-15"
"LAO","15-19  years",57.23,"15-20"
"LAO","20-24 years",52.485,"20-25"
"LAO","25-29 years",47.815,"25-30"
"LAO","30-34 years",43.155,"30-35"
"LAO","35-39 years",38.535,"35-40"
"LAO","40-44 years",33.99,"40-45"
"LAO","45-49 years",29.58,"45-50"
"LAO","50-54 years",25.335,"50-55"
"LAO","55-59 years",21.345,"55-60"
"LAO","60-64 years",17.62,"60-65"
"LAO","65-69 years",14.265,"65-70"
"LAO","70-74 years",11.24,"70-75"
"LAO","75-79 years",8.655,"75-80"
"LAO","80+",6.45,"80+"
"LBN","0-4",76.59,"0-5"
"LBN","5-9 years",72.16,"5-10"
"LBN","10-14 years",67.22,"10-15"
"LBN","15-19  years",62.285,"15-20"
"LBN","20-24 years",57.445,"20-25"
"LBN","25-29 years",52.65,"25-30"
"LBN","30-34 years",47.84,"30-35"
"LBN","35-39 years",43.04,"35-40"
"LBN","40-44 years",38.29,"40-45"
"LBN","45-49 years",33.615,"45-50"
"LBN","50-54 years",29.07,"50-55"
"LBN","55-59 years",24.715,"55-60"
"LBN","60-64 years",20.58,"60-65"
"LBN","65-69 years",16.755,"65-70"
"LBN","70-74 years",13.27,"70-75"
"LBN","75-79 years",10.19,"75-80"
"LBN","80+",7.53,"80+"
"LBR","0-4",67.285,"0-5"
"LBR","5-9 years",64.88,"5-10"
"LBR","10-14 years",60.39,"10-15"
"LBR","15-19  years",55.835,"15-20"
"LBR","20-24 years",51.15,"20-25"
"LBR","25-29 years",46.565,"25-30"
"LBR","30-34 years",42.045,"30-35"
"LBR","35-39 years",37.625,"35-40"
"LBR","40-44 years",33.32,"40-45"
"LBR","45-49 years",29.17,"45-50"
"LBR","50-54 years",25.16,"50-55"
"LBR","55-59 years",21.34,"55-60"
"LBR","60-64 years",17.725,"60-65"
"LBR","65-69 years",14.465,"65-70"
"LBR","70-74 years",11.49,"70-75"
"LBR","75-79 years",8.965,"75-80"
"LBR","80+",6.755,"80+"
"LBY","0-4",75.775,"0-5"
"LBY","5-9 years",71.68,"5-10"
"LBY","10-14 years",66.805,"10-15"
"LBY","15-19  years",61.955,"15-20"
"LBY","20-24 years",57.19,"20-25"
"LBY","25-29 years",52.515,"25-30"
"LBY","30-34 years",47.82,"30-35"
"LBY","35-39 years",43.155,"35-40"
"LBY","40-44 years",38.535,"40-45"
"LBY","45-49 years",33.985,"45-50"
"LBY","50-54 years",29.58,"50-55"
"LBY","55-59 years",25.295,"55-60"
"LBY","60-64 years",21.22,"60-65"
"LBY","65-69 years",17.53,"65-70"
"LBY","70-74 years",14.205,"70-75"
"LBY","75-79 years",11.15,"75-80"
"LBY","80+",8.61,"80+"
"LCA","0-4",75.005,"0-5"
"LCA","5-9 years",71.175,"5-10"
"LCA","10-14 years",66.295,"10-15"
"LCA","15-19  years",61.385,"15-20"
"LCA","20-24 years",56.57,"20-25"
"LCA","25-29 years",51.875,"25-30"
"LCA","30-34 years",47.23,"30-35"
"LCA","35-39 years",42.61,"35-40"
"LCA","40-44 years",38.02,"40-45"
"LCA","45-49 years",33.56,"45-50"
"LCA","50-54 years",29.24,"50-55"
"LCA","55-59 years",25.045,"55-60"
"LCA","60-64 years",21.035,"60-65"
"LCA","65-69 years",17.295,"65-70"
"LCA","70-74 years",13.745,"70-75"
"LCA","75-79 years",10.575,"75-80"
"LCA","80+",7.635,"80+"
"LKA","0-4",76.805,"0-5"
"LKA","5-9 years",72.35,"5-10"
"LKA","10-14 years",67.4,"10-15"
"LKA","15-19  years",62.455,"15-20"
"LKA","20-24 years",57.65,"20-25"
"LKA","25-29 years",52.885,"25-30"
"LKA","30-34 years",48.095,"30-35"
"LKA","35-39 years",43.29,"35-40"
"LKA","40-44 years",38.49,"40-45"
"LKA","45-49 years",33.765,"45-50"
"LKA","50-54 years",29.19,"50-55"
"LKA","55-59 years",24.81,"55-60"
"LKA","60-64 years",20.635,"60-65"
"LKA","65-69 years",16.71,"65-70"
"LKA","70-74 years",12.84,"70-75"
"LKA","75-79 years",9.78,"75-80"
"LKA","80+",7.63,"80+"
"LSO","0-4",53.575,"0-5"
"LSO","5-9 years",50.675,"5-10"
"LSO","10-14 years",45.925,"10-15"
"LSO","15-19  years",41.075,"15-20"
"LSO","20-24 years",36.67,"20-25"
"LSO","25-29 years",32.53,"25-30"
"LSO","30-34 years",28.785,"30-35"
"LSO","35-39 years",25.52,"35-40"
"LSO","40-44 years",22.69,"40-45"
"LSO","45-49 years",20.155,"45-50"
"LSO","50-54 years",17.85,"50-55"
"LSO","55-59 years",15.54,"55-60"
"LSO","60-64 years",13.23,"60-65"
"LSO","65-69 years",10.965,"65-70"
"LSO","70-74 years",8.81,"70-75"
"LSO","75-79 years",6.89,"75-80"
"LSO","80+",5.23,"80+"
"LTU","0-4",75.83,"0-5"
"LTU","5-9 years",71.15,"5-10"
"LTU","10-14 years",66.185,"10-15"
"LTU","15-19  years",61.24,"15-20"
"LTU","20-24 years",56.36,"20-25"
"LTU","25-29 years",51.5,"25-30"
"LTU","30-34 years",46.72,"30-35"
"LTU","35-39 years",42.05,"35-40"
"LTU","40-44 years",37.5,"40-45"
"LTU","45-49 years",33.04,"45-50"
"LTU","50-54 years",28.7,"50-55"
"LTU","55-59 years",24.515,"55-60"
"LTU","60-64 years",20.52,"60-65"
"LTU","65-69 years",16.845,"65-70"
"LTU","70-74 years",13.48,"70-75"
"LTU","75-79 years",10.415,"75-80"
"LTU","80+",7.54,"80+"
"LUX","0-4",82.41,"0-5"
"LUX","5-9 years",77.625,"5-10"
"LUX","10-14 years",72.64,"10-15"
"LUX","15-19  years",67.655,"15-20"
"LUX","20-24 years",62.72,"20-25"
"LUX","25-29 years",57.775,"25-30"
"LUX","30-34 years",52.855,"30-35"
"LUX","35-39 years",47.91,"35-40"
"LUX","40-44 years",43.04,"40-45"
"LUX","45-49 years",38.205,"45-50"
"LUX","50-54 years",33.51,"50-55"
"LUX","55-59 years",28.885,"55-60"
"LUX","60-64 years",24.36,"60-65"
"LUX","65-69 years",20.085,"65-70"
"LUX","70-74 years",16.205,"70-75"
"LUX","75-79 years",12.575,"75-80"
"LUX","80+",9.23,"80+"
"LVA","0-4",75.21,"0-5"
"LVA","5-9 years",70.42,"5-10"
"LVA","10-14 years",65.465,"10-15"
"LVA","15-19  years",60.51,"15-20"
"LVA","20-24 years",55.635,"20-25"
"LVA","25-29 years",50.82,"25-30"
"LVA","30-34 years",46.03,"30-35"
"LVA","35-39 years",41.37,"35-40"
"LVA","40-44 years",36.76,"40-45"
"LVA","45-49 years",32.315,"45-50"
"LVA","50-54 years",28,"50-55"
"LVA","55-59 years",23.94,"55-60"
"LVA","60-64 years",20.1,"60-65"
"LVA","65-69 years",16.495,"65-70"
"LVA","70-74 years",13.22,"70-75"
"LVA","75-79 years",10.2,"75-80"
"LVA","80+",7.41,"80+"
"MAR","0-4",73.41,"0-5"
"MAR","5-9 years",69.63,"5-10"
"MAR","10-14 years",64.745,"10-15"
"MAR","15-19  years",59.8,"15-20"
"MAR","20-24 years",54.98,"20-25"
"MAR","25-29 years",50.18,"25-30"
"MAR","30-34 years",45.375,"30-35"
"MAR","35-39 years",40.59,"35-40"
"MAR","40-44 years",35.865,"40-45"
"MAR","45-49 years",31.255,"45-50"
"MAR","50-54 years",26.81,"50-55"
"MAR","55-59 years",22.595,"55-60"
"MAR","60-64 years",18.665,"60-65"
"MAR","65-69 years",15.08,"65-70"
"MAR","70-74 years",11.845,"70-75"
"MAR","75-79 years",9.05,"75-80"
"MAR","80+",6.695,"80+"
"MDA","0-4",73.19,"0-5"
"MDA","5-9 years",69.3,"5-10"
"MDA","10-14 years",64.375,"10-15"
"MDA","15-19  years",59.465,"15-20"
"MDA","20-24 years",54.58,"20-25"
"MDA","25-29 years",49.715,"25-30"
"MDA","30-34 years",44.875,"30-35"
"MDA","35-39 years",40.105,"35-40"
"MDA","40-44 years",35.445,"40-45"
"MDA","45-49 years",30.985,"45-50"
"MDA","50-54 years",26.7,"50-55"
"MDA","55-59 years",22.58,"55-60"
"MDA","60-64 years",18.775,"60-65"
"MDA","65-69 years",15.3,"65-70"
"MDA","70-74 years",12.645,"70-75"
"MDA","75-79 years",9.46,"75-80"
"MDA","80+",7.47,"80+"
"MDG","0-4",66.765,"0-5"
"MDG","5-9 years",63.715,"5-10"
"MDG","10-14 years",59.385,"10-15"
"MDG","15-19  years",54.82,"15-20"
"MDG","20-24 years",50.13,"20-25"
"MDG","25-29 years",45.545,"25-30"
"MDG","30-34 years",41.01,"30-35"
"MDG","35-39 years",36.535,"35-40"
"MDG","40-44 years",32.18,"40-45"
"MDG","45-49 years",27.99,"45-50"
"MDG","50-54 years",23.98,"50-55"
"MDG","55-59 years",20.215,"55-60"
"MDG","60-64 years",16.74,"60-65"
"MDG","65-69 years",13.63,"65-70"
"MDG","70-74 years",10.81,"70-75"
"MDG","75-79 years",8.415,"75-80"
"MDG","80+",6.335,"80+"
"MDV","0-4",79.695,"0-5"
"MDV","5-9 years",75.325,"5-10"
"MDV","10-14 years",70.38,"10-15"
"MDV","15-19  years",65.45,"15-20"
"MDV","20-24 years",60.59,"20-25"
"MDV","25-29 years",55.675,"25-30"
"MDV","30-34 years",50.785,"30-35"
"MDV","35-39 years",45.885,"35-40"
"MDV","40-44 years",40.985,"40-45"
"MDV","45-49 years",36.11,"45-50"
"MDV","50-54 years",31.33,"50-55"
"MDV","55-59 years",26.62,"55-60"
"MDV","60-64 years",22.22,"60-65"
"MDV","65-69 years",17.975,"65-70"
"MDV","70-74 years",13.975,"70-75"
"MDV","75-79 years",10.915,"75-80"
"MDV","80+",7.98,"80+"
"MEX","0-4",75.995,"0-5"
"MEX","5-9 years",72.08,"5-10"
"MEX","10-14 years",67.155,"10-15"
"MEX","15-19  years",62.25,"15-20"
"MEX","20-24 years",57.455,"20-25"
"MEX","25-29 years",52.76,"25-30"
"MEX","30-34 years",48.1,"30-35"
"MEX","35-39 years",43.46,"35-40"
"MEX","40-44 years",38.88,"40-45"
"MEX","45-49 years",34.4,"45-50"
"MEX","50-54 years",30.005,"50-55"
"MEX","55-59 years",25.79,"55-60"
"MEX","60-64 years",21.78,"60-65"
"MEX","65-69 years",17.99,"65-70"
"MEX","70-74 years",14.55,"70-75"
"MEX","75-79 years",11.345,"75-80"
"MEX","80+",8.535,"80+"
"MKD","0-4",74.855,"0-5"
"MKD","5-9 years",70.32,"5-10"
"MKD","10-14 years",65.36,"10-15"
"MKD","15-19  years",60.41,"15-20"
"MKD","20-24 years",55.5,"20-25"
"MKD","25-29 years",50.585,"25-30"
"MKD","30-34 years",45.715,"30-35"
"MKD","35-39 years",40.855,"35-40"
"MKD","40-44 years",36.03,"40-45"
"MKD","45-49 years",31.3,"45-50"
"MKD","50-54 years",26.745,"50-55"
"MKD","55-59 years",22.36,"55-60"
"MKD","60-64 years",18.305,"60-65"
"MKD","65-69 years",14.505,"65-70"
"MKD","70-74 years",10.97,"70-75"
"MKD","75-79 years",7.8,"75-80"
"MKD","80+",5.165,"80+"
"MLI","0-4",65.835,"0-5"
"MLI","5-9 years",64.22,"5-10"
"MLI","10-14 years",60.09,"10-15"
"MLI","15-19  years",55.585,"15-20"
"MLI","20-24 years",50.94,"20-25"
"MLI","25-29 years",46.38,"25-30"
"MLI","30-34 years",41.895,"30-35"
"MLI","35-39 years",37.475,"35-40"
"MLI","40-44 years",33.165,"40-45"
"MLI","45-49 years",28.975,"45-50"
"MLI","50-54 years",24.92,"50-55"
"MLI","55-59 years",21.085,"55-60"
"MLI","60-64 years",17.455,"60-65"
"MLI","65-69 years",14.175,"65-70"
"MLI","70-74 years",11.215,"70-75"
"MLI","75-79 years",8.75,"75-80"
"MLI","80+",6.65,"80+"
"MLT","0-4",81.87,"0-5"
"MLT","5-9 years",77.475,"5-10"
"MLT","10-14 years",72.49,"10-15"
"MLT","15-19  years",67.52,"15-20"
"MLT","20-24 years",62.59,"20-25"
"MLT","25-29 years",57.685,"25-30"
"MLT","30-34 years",52.76,"30-35"
"MLT","35-39 years",47.865,"35-40"
"MLT","40-44 years",43.03,"40-45"
"MLT","45-49 years",38.195,"45-50"
"MLT","50-54 years",33.455,"50-55"
"MLT","55-59 years",28.875,"55-60"
"MLT","60-64 years",24.425,"60-65"
"MLT","65-69 years",20.145,"65-70"
"MLT","70-74 years",16.085,"70-75"
"MLT","75-79 years",12.25,"75-80"
"MLT","80+",8.78,"80+"
"MMR","0-4",70.56,"0-5"
"MMR","5-9 years",67.225,"5-10"
"MMR","10-14 years",62.39,"10-15"
"MMR","15-19  years",57.525,"15-20"
"MMR","20-24 years",52.79,"20-25"
"MMR","25-29 years",48.115,"25-30"
"MMR","30-34 years",43.46,"30-35"
"MMR","35-39 years",38.855,"35-40"
"MMR","40-44 years",34.325,"40-45"
"MMR","45-49 years",29.92,"45-50"
"MMR","50-54 years",25.675,"50-55"
"MMR","55-59 years",21.67,"55-60"
"MMR","60-64 years",17.895,"60-65"
"MMR","65-69 years",14.47,"65-70"
"MMR","70-74 years",11.37,"70-75"
"MMR","75-79 years",8.73,"75-80"
"MMR","80+",6.51,"80+"
"MNE","0-4",75.9,"0-5"
"MNE","5-9 years",71.075,"5-10"
"MNE","10-14 years",66.11,"10-15"
"MNE","15-19  years",61.135,"15-20"
"MNE","20-24 years",56.21,"20-25"
"MNE","25-29 years",51.365,"25-30"
"MNE","30-34 years",46.525,"30-35"
"MNE","35-39 years",41.695,"35-40"
"MNE","40-44 years",36.93,"40-45"
"MNE","45-49 years",32.235,"45-50"
"MNE","50-54 years",27.695,"50-55"
"MNE","55-59 years",23.405,"55-60"
"MNE","60-64 years",19.38,"60-65"
"MNE","65-69 years",15.635,"65-70"
"MNE","70-74 years",12.255,"70-75"
"MNE","75-79 years",9.225,"75-80"
"MNE","80+",6.665,"80+"
"MNG","0-4",68.29,"0-5"
"MNG","5-9 years",64.385,"5-10"
"MNG","10-14 years",59.485,"10-15"
"MNG","15-19  years",54.585,"15-20"
"MNG","20-24 years",49.77,"20-25"
"MNG","25-29 years",45.08,"25-30"
"MNG","30-34 years",40.465,"30-35"
"MNG","35-39 years",35.955,"35-40"
"MNG","40-44 years",31.56,"40-45"
"MNG","45-49 years",27.365,"45-50"
"MNG","50-54 years",23.4,"50-55"
"MNG","55-59 years",19.745,"55-60"
"MNG","60-64 years",16.335,"60-65"
"MNG","65-69 years",13.3,"65-70"
"MNG","70-74 years",10.68,"70-75"
"MNG","75-79 years",8.21,"75-80"
"MNG","80+",5.875,"80+"
"MOZ","0-4",60.41,"0-5"
"MOZ","5-9 years",57.63,"5-10"
"MOZ","10-14 years",53.08,"10-15"
"MOZ","15-19  years",48.445,"15-20"
"MOZ","20-24 years",44.015,"20-25"
"MOZ","25-29 years",39.76,"25-30"
"MOZ","30-34 years",35.735,"30-35"
"MOZ","35-39 years",31.995,"35-40"
"MOZ","40-44 years",28.455,"40-45"
"MOZ","45-49 years",25.075,"45-50"
"MOZ","50-54 years",21.79,"50-55"
"MOZ","55-59 years",18.635,"55-60"
"MOZ","60-64 years",15.585,"60-65"
"MOZ","65-69 years",12.775,"65-70"
"MOZ","70-74 years",10.185,"70-75"
"MOZ","75-79 years",7.965,"75-80"
"MOZ","80+",6.07,"80+"
"MRT","0-4",71.035,"0-5"
"MRT","5-9 years",68.715,"5-10"
"MRT","10-14 years",64.04,"10-15"
"MRT","15-19  years",59.19,"15-20"
"MRT","20-24 years",54.415,"20-25"
"MRT","25-29 years",49.725,"25-30"
"MRT","30-34 years",45.065,"30-35"
"MRT","35-39 years",40.445,"35-40"
"MRT","40-44 years",35.865,"40-45"
"MRT","45-49 years",31.405,"45-50"
"MRT","50-54 years",27.055,"50-55"
"MRT","55-59 years",22.915,"55-60"
"MRT","60-64 years",18.995,"60-65"
"MRT","65-69 years",15.455,"65-70"
"MRT","70-74 years",12.22,"70-75"
"MRT","75-79 years",9.45,"75-80"
"MRT","80+",7.06,"80+"
"MUS","0-4",74.135,"0-5"
"MUS","5-9 years",70.26,"5-10"
"MUS","10-14 years",65.32,"10-15"
"MUS","15-19  years",60.385,"15-20"
"MUS","20-24 years",55.56,"20-25"
"MUS","25-29 years",50.81,"25-30"
"MUS","30-34 years",46.1,"30-35"
"MUS","35-39 years",41.44,"35-40"
"MUS","40-44 years",36.885,"40-45"
"MUS","45-49 years",32.46,"45-50"
"MUS","50-54 years",28.195,"50-55"
"MUS","55-59 years",24.12,"55-60"
"MUS","60-64 years",20.21,"60-65"
"MUS","65-69 years",16.585,"65-70"
"MUS","70-74 years",13.275,"70-75"
"MUS","75-79 years",10.27,"75-80"
"MUS","80+",7.695,"80+"
"MWI","0-4",66.745,"0-5"
"MWI","5-9 years",63.485,"5-10"
"MWI","10-14 years",58.95,"10-15"
"MWI","15-19  years",54.205,"15-20"
"MWI","20-24 years",49.54,"20-25"
"MWI","25-29 years",44.99,"25-30"
"MWI","30-34 years",40.5,"30-35"
"MWI","35-39 years",36.135,"35-40"
"MWI","40-44 years",31.935,"40-45"
"MWI","45-49 years",27.94,"45-50"
"MWI","50-54 years",24.11,"50-55"
"MWI","55-59 years",20.52,"55-60"
"MWI","60-64 years",17.08,"60-65"
"MWI","65-69 years",13.92,"65-70"
"MWI","70-74 years",11.035,"70-75"
"MWI","75-79 years",8.58,"75-80"
"MWI","80+",6.51,"80+"
"MYS","0-4",74.845,"0-5"
"MYS","5-9 years",70.47,"5-10"
"MYS","10-14 years",65.55,"10-15"
"MYS","15-19  years",60.64,"15-20"
"MYS","20-24 years",55.82,"20-25"
"MYS","25-29 years",51.045,"25-30"
"MYS","30-34 years",46.27,"30-35"
"MYS","35-39 years",41.535,"35-40"
"MYS","40-44 years",36.85,"40-45"
"MYS","45-49 years",32.25,"45-50"
"MYS","50-54 years",27.79,"50-55"
"MYS","55-59 years",23.525,"55-60"
"MYS","60-64 years",19.525,"60-65"
"MYS","65-69 years",15.835,"65-70"
"MYS","70-74 years",12.53,"70-75"
"MYS","75-79 years",9.785,"75-80"
"MYS","80+",7.465,"80+"
"NAM","0-4",65.54,"0-5"
"NAM","5-9 years",62.285,"5-10"
"NAM","10-14 years",57.645,"10-15"
"NAM","15-19  years",52.925,"15-20"
"NAM","20-24 years",48.335,"20-25"
"NAM","25-29 years",43.785,"25-30"
"NAM","30-34 years",39.31,"30-35"
"NAM","35-39 years",35.04,"35-40"
"NAM","40-44 years",31.015,"40-45"
"NAM","45-49 years",27.245,"45-50"
"NAM","50-54 years",23.66,"50-55"
"NAM","55-59 years",20.275,"55-60"
"NAM","60-64 years",16.965,"60-65"
"NAM","65-69 years",13.825,"65-70"
"NAM","70-74 years",10.935,"70-75"
"NAM","75-79 years",8.415,"75-80"
"NAM","80+",6.315,"80+"
"NER","0-4",65.455,"0-5"
"NER","5-9 years",63.84,"5-10"
"NER","10-14 years",59.815,"10-15"
"NER","15-19  years",55.675,"15-20"
"NER","20-24 years",51.015,"20-25"
"NER","25-29 years",46.43,"25-30"
"NER","30-34 years",41.89,"30-35"
"NER","35-39 years",37.415,"35-40"
